,LastTradingPrice,ClosingPrice,LastUpdate,Day'sRange,Change*,Day'sValue(mn),OpeningPrice,Day'sVolume(Nos,AdjustedOpeningPrice,Day'sTrade(Nos,Yesterday'sClosingPrice,MarketCapitalization(mn),Paid-upCapital(mn),TypeofInstrument,Face/parValue,MarketLot,TotalNo,Sector,Reserve&SurpluswithoutOCI(mn),OtherComprehensiveIncome(OCI)(mn),MarketCategory,ElectronicShare
50,122.7,123.5,3:45PM,11.000000000000014,-6.2,1.33,132.8,10640.0,128.9,108.0,128.9,557.623,43.26,Equity,10.0,1.0,4326013.0,Engineering,-13.9,167.5,A,Y
51,23.8,23.8,3:45PM,1.3000000000000007,-1.6,15.34,24.7,636752.0,24.2,397.0,25.4,1380.95,543.68,Equity,10.0,1.0,54368095.0,ITSector,149.1,27.9,A,Y
52,63.0,63.0,3:45PM,2.1000000000000014,-0.9,59.48,65.0,940337.0,63.9,537.0,63.9,11347.45,1775.81,Equity,10.0,1.0,177581384.0,FinancialInstitutions,1216.6,29.4,A,Y
53,174.1,174.1,3:45PM,7.300000000000011,-6.8,5.67,180.0,32252.0,180.9,309.0,180.9,1695.143,94.0,Equity,10.0,1.0,9370608.0,Engineering,660.3,242.4,A,Y
54,0,5.2,3:45PM,0,0,0,0,0,5.2,0,5.2,508.502,977.89,Equity,10.0,1.0,97788913.0,Travel&Leisure,-1639.2,5.2,Z,Y
55,19.5,19.5,3:45PM,1.1000000000000014,-0.6,21.75,20.2,1103117.0,20.1,796.0,20.1,2568.283,1277.75,Equity,10.0,1.0,127775250.0,Engineering,1591.3,29.2,B,Y
56,16.2,16.4,3:45PM,0.6000000000000014,-0.7,1.02,16.6,61759.0,16.9,80.0,16.9,732.603,433.49,Equity,10.0,1.0,43349305.0,Fuel&Power,64.9,13.5,Z,Y
57,25.0,25.0,3:45PM,2.8999999999999986,-0.9,7.99,26.0,312976.0,25.9,395.0,25.9,1072.286,414.0,Equity,10.0,1.0,41401021.0,Food&Allied,20.9,15.6,Z,Y
58,221.5,220.1,3:45PM,9.900000000000006,-2.1,20.43,224.9,93566.0,223.6,333.0,223.6,51651.6,2310.0,Equity,10.0,1.0,231000000.0,Pharmaceuticals&Chemicals,2320.8,72.9,B,Y
59,23.2,23.2,3:45PM,2.3999999999999986,-1.9,7.9,24.6,326659.0,25.1,341.0,25.1,2296.048,914.76,Equity,10.0,1.0,91476000.0,Engineering,837.7,27.5,B,Y
60,1761.3,1761.3,3:45PM,26,4.2,4.83,1750.0,2737.0,1757.1,83.0,1757.1,81490.573,463.78,Equity,10.0,1.0,46377880.0,Miscellaneous,10329.9,1759.5,A,Y
61,175.6,175.6,3:45PM,3.799999999999983,0.7,1278.98,174.0,7324002.0,174.9,4849.0,174.9,153268.172,8763.19,Equity,10.0,1.0,876318879.0,Miscellaneous,52434.3,137.2,B,Y
62,50.8,50.8,3:45PM,1.3999999999999986,0.1,9.93,50.9,194571.0,50.7,251.0,50.7,2739.182,540.27,Equity,10.0,1.0,54027255.0,Insurance,261.8,35.8,A,Y
63,7.8,7.7,3:45PM,0.20000000000000018,0.1,0.49,7.9,63028.0,7.7,51.0,7.7,775.236,1006.79,Equity,10.0,1.0,100679944.0,FinancialInstitutions,-7692.0,5.7,Z,Y
64,120.3,120.3,3:45PM,6.799999999999997,-4.5,4.69,124.8,39007.0,124.8,150.0,124.8,5522.4,442.5,Equity,10.0,1.0,44250000.0,Insurance,450.0,73.4,A,Y
65,44.7,44.7,3:45PM,1.2999999999999972,-1.1,6.17,45.2,136474.0,45.8,204.0,45.8,7959.648,1737.91,Equity,10.0,1.0,173791441.0,Paper&Printing,4249.5,52.0,A,Y
66,38.4,38.4,3:45PM,1.3999999999999986,-0.8,47.77,39.5,1241613.0,39.2,1670.0,39.2,6781.423,1729.95,Equity,10.0,1.0,172995488.0,Fuel&Power,1290.1,51.4,N,Y
67,56.3,56.3,3:45PM,3.3000000000000043,-2.2,201.63,58.9,3504095.0,58.5,2842.0,58.5,81442.085,13921.7,Equity,10.0,1.0,1392172399.0,Bank,30792.5,40.8,A,Y
68,45.7,45.7,3:45PM,1.5,-1.5,23.18,47.0,503505.0,47.2,526.0,47.2,7199.654,1525.35,Equity,10.0,1.0,152535040.0,Miscellaneous,2374.0,45.7,A,Y
69,179.9,179.9,3:45PM,2.4000000000000057,-0.3,27.49,180.0,152646.0,180.2,531.0,180.2,29715.973,1649.06,Equity,10.0,1.0,164905510.0,Telecommunication,4377.7,218.5,A,Y
70,103.6,103.6,3:45PM,6.900000000000006,-7.6,22.21,109.9,210791.0,111.2,566.0,111.2,33202.61,2985.85,Equity,10.0,1.0,298584626.0,Engineering,20718.5,111.0,A,Y
71,69.9,69.9,3:45PM,2.200000000000003,-2.9,19.9,71.0,283234.0,72.8,448.0,72.8,27369.342,3759.53,Equity,10.0,1.0,375952500.0,Engineering,17610.5,72.4,A,Y
72,215.5,215.5,3:45PM,3.5,-0.9,90.17,215.0,418230.0,216.4,867.0,216.4,96538.656,4461.12,Equity,10.0,1.0,446112090.0,Pharmaceuticals&Chemicals,22766.1,240.3,A,Y
73,0,8.4,3:45PM,0,0,0,0,0,8.4,0,8.4,728.384,867.12,Equity,10.0,1.0,86712359.0,Pharmaceuticals&Chemicals,-988.3,8.4,Z,Y
74,11.0,11.0,3:45PM,0.6000000000000014,0.5,7.71,10.7,697062.0,10.5,261.0,10.5,526.376,501.0,MutualFund,10.0,1.0,50131000.0,MutualFunds,90.6,11.8,A,Y
75,19.6,19.6,3:45PM,1.1000000000000014,0.7,14.63,19.2,743725.0,18.9,517.0,18.9,1263.531,668.53,MutualFund,10.0,1.0,66853500.0,MutualFunds,108.6,19.2,A,Y
76,51.9,51.9,3:45PM,1.2000000000000028,-0.1,7.18,52.2,138362.0,52.0,185.0,52.0,2763.531,531.45,Equity,10.0,1.0,53144823.0,Insurance,649.2,65.0,A,Y
77,12.2,12.2,3:45PM,1.0,-0.7,7.6,12.9,614026.0,12.9,502.0,12.9,1545.431,1198.01,Equity,10.0,1.0,119800844.0,Pharmaceuticals&Chemicals,-407.3,12.6,B,Y
78,30.1,30.1,3:45PM,1.7000000000000028,1.0,242.46,29.6,8130551.0,29.1,2595.0,29.1,31055.694,10672.1,Equity,10.0,1.0,1067205994.0,Bank,17784.0,25.7,A,Y
79,43.5,43.5,3:45PM,1.2999999999999972,0.1,19.22,43.9,443337.0,43.4,425.0,43.4,2958.41,681.66,Equity,10.0,1.0,68166122.0,Insurance,378.1,22.4,A,Y
80,7.8,7.8,3:45PM,0.6000000000000005,0.0,16.91,7.9,2209627.0,7.8,366.0,7.8,1866.665,2393.16,Equity,10.0,1.0,239316000.0,Textile,1247.8,8.5,Z,N
81,117.3,117.3,3:45PM,4.0,-1.5,15.67,117.5,133792.0,118.8,479.0,118.8,9294.286,782.35,Equity,10.0,1.0,78234731.0,Cement,3531.5,113.0,A,Y
82,47.1,46.4,3:45PM,1.3999999999999986,-0.1,8.53,46.2,182681.0,47.2,348.0,47.2,1963.771,416.05,Equity,10.0,1.0,41605311.0,Insurance,287.0,33.4,A,Y
83,33.3,33.3,3:45PM,1.3999999999999986,-0.8,3.95,34.5,118326.0,34.1,129.0,34.1,2148.3,630.0,Equity,10.0,1.0,63000000.0,Engineering,77.9,42.3,A,Y
84,54.1,54.1,3:45PM,2.8999999999999986,-1.1,4.53,55.2,83577.0,55.2,146.0,55.2,2208.0,400.0,Equity,10.0,1.0,40000000.0,Insurance,439.1,34.2,A,Y
85,181.9,181.9,3:45PM,9.5,-3.4,13.05,185.3,70977.0,185.3,516.0,185.3,4677.899,252.45,Equity,10.0,1.0,25245000.0,Fuel&Power,62.4,235.6,B,Y
86,23.3,23.3,3:45PM,1.3000000000000007,0.8,18.8,22.4,809402.0,22.5,478.0,22.5,1960.953,871.53,Equity,10.0,1.0,87153453.0,Textile,-142.5,8.7,B,Y
87,0,62.2,3:45PM,0,0,0,0,0,62.2,0,62.2,3104.543,499.12,Equity,10.0,1.0,49912262.0,ITSector,187.4,71.3,A,Y
88,80.8,80.8,3:45PM,2.299999999999997,1.9,18.04,78.7,224776.0,78.9,495.0,78.9,13986.127,1772.64,Equity,10.0,1.0,177263968.0,FinancialInstitutions,4603.8,92.6,A,Y
89,8.0,8.0,3:45PM,0.1999999999999993,0.1,2.59,8.0,322858.0,7.9,72.0,7.9,948.0,1200.0,MutualFund,10.0,1.0,120000000.0,MutualFunds,214.8,7.9,A,Y
90,216.0,216.0,3:45PM,19.100000000000023,-16.9,558.06,231.0,2497681.0,232.9,5511.0,232.9,28821.375,1237.5,Equity,10.0,1.0,123750000.0,Insurance,0.0,0,A,Y
91,8.9,8.9,3:45PM,0.6999999999999993,-0.4,17.6,9.3,1964101.0,9.3,646.0,9.3,1548.282,1664.82,Equity,10.0,1.0,166481964.0,Textile,515.9,11.8,B,Y
92,37.1,36.9,3:45PM,2.0,-0.3,4.53,36.7,122813.0,37.4,85.0,37.4,14869.111,3975.7,Equity,10.0,1.0,397569804.0,Fuel&Power,14613.6,41.4,A,Y
93,22.1,22.1,3:45PM,1.6000000000000014,-1.4,26.14,23.6,1160290.0,23.5,743.0,23.5,1442.081,613.65,Equity,10.0,1.0,61365150.0,Engineering,29.7,23.8,B,Y
94,39.0,39.0,3:45PM,2.1000000000000014,0.0,5.43,41.0,138278.0,39.0,191.0,39.0,1560.0,400.0,Equity,10.0,1.0,40000000.0,Insurance,46.2,22.5,A,Y
95,16.2,16.2,3:45PM,1.4999999999999982,0.8,190.41,15.7,11625613.0,15.4,1664.0,15.4,14624.221,9496.25,Equity,10.0,1.0,949624754.0,Bank,9938.2,12.0,A,Y
96,73.6,73.6,3:45PM,2.3999999999999915,0.4,4.46,73.2,60982.0,73.2,173.0,73.2,2937.15,401.25,Equity,10.0,1.0,40125000.0,Insurance,849.3,41.0,A,Y
97,27.1,27.1,3:45PM,3.6999999999999993,-0.9,29.69,28.9,1061249.0,28.0,1058.0,28.0,2872.8,1026.0,Equity,10.0,1.0,102600000.0,Engineering,429.8,0,A,Y
98,65.9,65.9,3:45PM,1.4000000000000057,-0.5,34.82,66.4,532260.0,66.4,682.0,66.4,9587.289,1443.87,Equity,10.0,1.0,144386880.0,Fuel&Power,4059.4,85.8,A,Y
99,133.8,133.8,3:45PM,10.300000000000011,-2.5,1.98,138.5,14594.0,136.3,188.0,136.3,1027.001,75.35,Equity,10.0,1.0,7534856.0,Textile,71.2,226.9,A,Y
100,16.0,16.0,3:45PM,1.0999999999999996,-0.8,32.25,17.0,1992229.0,16.8,810.0,16.8,3372.692,2007.56,Equity,10.0,1.0,200755500.0,Textile,1305.3,23.6,A,Y
101,0,51.9,3:45PM,0,0,0,0,0,51.9,0,51.9,392.188,75.57,Equity,10.0,1.0,7556600.0,Textile,-349.5,59.7,Z,Y
102,94.5,94.5,3:45PM,4.700000000000003,5.3,461.33,93.0,4927817.0,89.2,4072.0,89.2,56419.0,6325.0,Equity,10.0,1.0,632500000.0,Bank,25920.6,57.0,A,Y
103,114.0,114.0,3:45PM,8.5,-3.9,27.93,121.5,242414.0,117.9,1063.0,117.9,5082.686,431.1,Equity,10.0,1.0,43110144.0,Insurance,1140.8,94.0,A,Y
104,39.2,39.2,3:45PM,0.8999999999999986,0.3,19.42,39.8,495865.0,38.9,305.0,38.9,3262.955,838.81,Equity,10.0,1.0,83880582.0,Insurance,897.3,26.5,A,Y
105,2261.8,2261.8,3:45PM,74,-34.8,8.51,2300.0,3752.0,2296.6,369.0,2296.6,2282.82,9.94,Equity,10.0,1.0,994000.0,Fuel&Power,168.4,1133.7,A,Y
106,40.4,40.4,3:45PM,1.0,0.7,42.13,40.0,1037088.0,39.7,657.0,39.7,37868.419,9538.64,Equity,10.0,1.0,953864468.0,Bank,19910.4,36.3,A,Y
107,7.9,7.9,3:45PM,0.09999999999999964,0.2,2.22,7.9,279679.0,7.7,71.0,7.7,1114.608,1447.54,MutualFund,10.0,1.0,144754222.0,MutualFunds,188.4,7.9,A,Y
108,6.7,6.7,3:45PM,0.20000000000000018,0.1,16.85,6.7,2522179.0,6.6,195.0,6.6,1480.125,2242.61,MutualFund,10.0,1.0,224261303.0,MutualFunds,394.8,6.6,A,Y
109,125.2,126.6,3:45PM,4.799999999999997,1.2,0.43,129.0,3424.0,124.0,13.0,124.0,3273.6,264.0,Equity,10.0,1.0,26400000.0,Engineering,134.8,151.0,B,Y
110,59.1,59.1,3:45PM,3.799999999999997,-0.6,20.25,59.7,346681.0,59.7,334.0,59.7,4477.5,750.0,Equity,10.0,1.0,75000000.0,ITSector,540.5,63.0,N,Y
111,52.3,52.3,3:45PM,1.0999999999999943,-0.7,4.03,53.0,76763.0,53.0,137.0,53.0,4947.293,933.45,Equity,10.0,1.0,93345153.0,Services&RealEstate,5631.2,62.4,A,Y
112,35.0,35.0,3:45PM,1.6000000000000014,-0.6,6.52,35.6,185245.0,35.6,347.0,35.6,2321.03,651.97,Equity,10.0,1.0,65197464.0,Insurance,192.6,24.1,N,Y
113,32.4,32.4,3:45PM,1.7999999999999972,-0.9,3.84,33.5,115618.0,33.3,197.0,33.3,1988.46,597.14,Equity,10.0,1.0,59713500.0,Food&Allied,338.3,41.2,Z,Y
114,45.0,45.0,3:45PM,6.899999999999999,2.2,14.65,40.3,325674.0,42.8,61.0,42.8,7179.048,1677.35,Equity,10.0,1.0,167734767.0,Textile,3648.1,46.4,A,Y
115,41.8,41.8,3:45PM,1.7000000000000028,-1.6,14.99,43.0,356009.0,43.4,512.0,43.4,8253.084,1901.63,Equity,10.0,1.0,190163216.0,Fuel&Power,5345.7,53.1,N,Y
116,34.0,34.0,3:45PM,1.5,-1.1,7.82,35.3,228452.0,35.1,202.0,35.1,4734.844,1348.96,Equity,10.0,1.0,134895833.0,Textile,4374.4,42.0,A,Y
117,10.3,10.3,3:45PM,0.9000000000000004,-0.6,13.47,10.9,1311508.0,10.9,447.0,10.9,1994.177,1829.52,Equity,10.0,1.0,182952000.0,Textile,526.4,14.1,A,Y
118,7.1,7.1,3:45PM,0.1999999999999993,0.2,8.07,7.0,1149232.0,6.9,245.0,6.9,988.469,1432.56,MutualFund,10.0,1.0,143256343.0,MutualFunds,208.5,7.0,A,Y
119,14.2,14.2,3:45PM,1.0,0.9,348.6,13.4,25059012.0,13.3,2812.0,13.3,19252.513,14475.6,Equity,10.0,1.0,1447557344.0,Bank,16116.1,11.3,A,Y
120,4.5,4.5,3:45PM,0.2999999999999998,-0.1,4.14,4.6,916650.0,4.6,341.0,4.6,1629.138,3541.6,Equity,10.0,1.0,354160388.0,Textile,523.9,4.0,Z,Y
121,12.1,12.1,3:45PM,0.40000000000000036,-0.4,8.56,12.5,700988.0,12.5,478.0,12.5,2726.168,2180.93,Equity,10.0,1.0,218093423.0,Pharmaceuticals&Chemicals,864.7,15.8,A,Y
122,6.7,6.7,3:45PM,0.20000000000000018,-0.1,0.72,6.8,106202.0,6.8,49.0,6.8,1115.631,1640.63,Equity,10.0,1.0,164063330.0,FinancialInstitutions,-1173.8,2.4,Z,Y
123,0,51.4,3:45PM,0,0,0,0,0,51.4,0,51.4,3841.777,747.43,Equity,10.0,1.0,74742751.0,Insurance,0.0,2513.25,A,Y
124,7.0,7.0,3:45PM,0.40000000000000036,0.2,9.17,6.9,1301462.0,6.8,320.0,6.8,1013.726,1490.77,Equity,10.0,1.0,149077364.0,FinancialInstitutions,-1202.8,4.8,B,Y
125,5.9,5.9,3:45PM,0.20000000000000018,0.2,19.61,5.7,3390093.0,5.7,378.0,5.7,4424.038,7761.0,MutualFund,10.0,1.0,776147028.0,MutualFunds,758.1,5.7,A,Y
126,36.1,35.8,3:45PM,2.1999999999999957,-0.7,13.48,37.8,374421.0,36.8,548.0,36.8,2614.259,710.4,Equity,10.0,1.0,71039643.0,Insurance,128.6,18.5,A,Y
127,16.2,16.2,3:45PM,1.3000000000000007,-1.1,20.02,17.2,1217088.0,17.3,538.0,17.3,3784.274,2187.44,Equity,10.0,1.0,218744171.0,Textile,1539.4,13.7,A,Y
128,37.0,37.0,3:45PM,3.299999999999997,-2.1,2.09,39.1,54744.0,39.1,160.0,39.1,546.38,139.74,Equity,10.0,1.0,13973920.0,Food&Allied,11.5,53.7,B,Y
129,7.2,7.2,3:45PM,0.3000000000000007,0.0,0.93,7.3,128307.0,7.2,43.0,7.2,853.522,1185.0,Equity,10.0,1.0,118544663.0,FinancialInstitutions,-192.0,5.1,Z,Y
130,14.8,14.8,3:45PM,1.1000000000000014,1.3,839.63,13.9,57601065.0,13.5,5587.0,13.5,13448.676,9961.98,Equity,10.0,1.0,996198211.0,Bank,7983.5,9.3,A,Y
131,104.5,104.5,3:45PM,5.5,-5.0,338.3,108.9,3186619.0,109.5,3882.0,109.5,16950.13,1547.96,Equity,10.0,1.0,154795704.0,TanneryIndustries,461.0,74.1,A,Y
132,16.4,16.4,3:45PM,1.1999999999999993,0.0,19.67,17.1,1184290.0,16.4,605.0,16.4,2234.813,1362.69,Equity,10.0,1.0,136269093.0,CeramicsSector,128.8,12.0,B,Y
133,13.4,13.4,3:45PM,1.5999999999999996,-0.8,16.67,14.2,1218478.0,14.2,856.0,14.2,1573.918,1108.39,Equity,10.0,1.0,110839284.0,Food&Allied,222.4,16.7,B,Y
134,36.1,36.1,3:45PM,3.6000000000000014,0.9,30.11,35.2,864763.0,35.2,645.0,35.2,3583.485,1018.04,Equity,10.0,1.0,101803548.0,Fuel&Power,144.6,47.1,A,Y
